league,season_start,season_end,date,status,matchday,home_team,home_team_short,home_team_code,away_team,away_team_short,away_team_code,home_team_score,away_team_score,home_team_halfscore,away_team_halfscore
UEFA Champions League,2021-06-22,2022-05-28,2021-08-10T18:00:00Z,FINISHED,3,AS Monaco FC,Monaco,ASM,AC Sparta Praha,Sparta Praha,SPP,3,1,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-08-10T18:00:00Z,FINISHED,3,PFK Ludogorets 1945 Razgrad,Ludogorets,LUD,PAE Olympiakos SFP,Olympiakos,OLY,10,4,0,1
UEFA Champions League,2021-06-22,2022-05-28,2021-08-10T18:30:00Z,FINISHED,3,BSC Young Boys,Young Boys,YOB,FC CFR 1907 Cluj,CFR Cluj,CLU,3,1,3,1
UEFA Champions League,2021-06-22,2022-05-28,2021-08-10T19:00:00Z,FINISHED,3,Sport Lisboa e Benfica,SL Benfica,BEN,FK Spartak Moskva,Spartak Moskva,SPA,2,0,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-08-10T19:00:00Z,FINISHED,3,Legia Warszawa,Legia,LEG,GNK Dinamo Zagreb,Dinamo Zagreb,DIN,0,1,0,1
UEFA Champions League,2021-06-22,2022-05-28,2021-08-10T19:00:00Z,FINISHED,3,Rangers FC,Rangers,RAN,Malmö FF,Malmö FF,MAL,1,2,1,0
UEFA Champions League,2021-06-22,2022-05-28,2021-08-17T19:00:00Z,FINISHED,,AS Monaco FC,Monaco,ASM,FK Shakhtar Donetsk,Shaktar,SHD,0,1,0,1
UEFA Champions League,2021-06-22,2022-05-28,2021-08-17T19:00:00Z,FINISHED,,FC Sheriff Tiraspol,Sheriff,SHE,GNK Dinamo Zagreb,Dinamo Zagreb,DIN,3,0,1,0
UEFA Champions League,2021-06-22,2022-05-28,2021-08-17T19:00:00Z,FINISHED,,FC Red Bull Salzburg,RB Salzburg,RBS,Brøndby IF,Brøndby,BRO,2,1,0,1
UEFA Champions League,2021-06-22,2022-05-28,2021-08-18T19:00:00Z,FINISHED,,Sport Lisboa e Benfica,SL Benfica,BEN,PSV,PSV,PSV,2,1,2,0
UEFA Champions League,2021-06-22,2022-05-28,2021-08-18T19:00:00Z,FINISHED,,Malmö FF,Malmö FF,MAL,PFK Ludogorets 1945 Razgrad,Ludogorets,LUD,2,0,1,0
UEFA Champions League,2021-06-22,2022-05-28,2021-08-18T19:00:00Z,FINISHED,,BSC Young Boys,Young Boys,YOB,Ferencvárosi TC,Ferencváros,FTC,3,2,2,1
UEFA Champions League,2021-06-22,2022-05-28,2021-08-24T19:00:00Z,FINISHED,,PSV,PSV,PSV,Sport Lisboa e Benfica,SL Benfica,BEN,0,0,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-08-24T19:00:00Z,FINISHED,,PFK Ludogorets 1945 Razgrad,Ludogorets,LUD,Malmö FF,Malmö FF,MAL,2,1,1,1
UEFA Champions League,2021-06-22,2022-05-28,2021-08-24T19:00:00Z,FINISHED,,Ferencvárosi TC,Ferencváros,FTC,BSC Young Boys,Young Boys,YOB,2,3,2,1
UEFA Champions League,2021-06-22,2022-05-28,2021-08-25T19:00:00Z,FINISHED,,Brøndby IF,Brøndby,BRO,FC Red Bull Salzburg,RB Salzburg,RBS,1,2,0,2
UEFA Champions League,2021-06-22,2022-05-28,2021-08-25T19:00:00Z,FINISHED,,FK Shakhtar Donetsk,Shaktar,SHD,AS Monaco FC,Monaco,ASM,2,2,0,2
UEFA Champions League,2021-06-22,2022-05-28,2021-08-25T19:00:00Z,FINISHED,,GNK Dinamo Zagreb,Dinamo Zagreb,DIN,FC Sheriff Tiraspol,Sheriff,SHE,0,0,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-09-14T16:45:00Z,FINISHED,1,BSC Young Boys,Young Boys,YOB,Manchester United FC,Man United,MUN,2,1,0,1
UEFA Champions League,2021-06-22,2022-05-28,2021-09-14T16:45:00Z,FINISHED,1,Sevilla FC,Sevilla FC,SEV,FC Red Bull Salzburg,RB Salzburg,RBS,1,1,1,1
UEFA Champions League,2021-06-22,2022-05-28,2021-09-14T19:00:00Z,FINISHED,1,FK Dynamo Kyiv,Dynamo Kyiv,DYN,Sport Lisboa e Benfica,SL Benfica,BEN,0,0,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-09-14T19:00:00Z,FINISHED,1,FC Barcelona,Barça,FCB,FC Bayern München,Bayern,FCB,0,3,0,1
UEFA Champions League,2021-06-22,2022-05-28,2021-09-14T19:00:00Z,FINISHED,1,Villarreal CF,Villarreal,VIL,Atalanta BC,Atalanta,ATA,2,2,1,1
UEFA Champions League,2021-06-22,2022-05-28,2021-09-14T19:00:00Z,FINISHED,1,Lille OSC,Lille,LIL,VfL Wolfsburg,Wolfsburg,WOB,0,0,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-09-14T19:00:00Z,FINISHED,1,Malmö FF,Malmö FF,MAL,Juventus FC,Juventus,JUV,0,3,0,3
UEFA Champions League,2021-06-22,2022-05-28,2021-09-14T19:00:00Z,FINISHED,1,Chelsea FC,Chelsea,CHE,FK Zenit Sankt-Petersburg,Zenit,ZEN,1,0,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-09-15T16:45:00Z,FINISHED,1,Beşiktaş JK,Beşiktaş,BES,Borussia Dortmund,Dortmund,BVB,1,2,0,2
UEFA Champions League,2021-06-22,2022-05-28,2021-09-15T16:45:00Z,FINISHED,1,FC Sheriff Tiraspol,Sheriff,SHE,FK Shakhtar Donetsk,Shaktar,SHD,2,0,1,0
UEFA Champions League,2021-06-22,2022-05-28,2021-09-15T19:00:00Z,FINISHED,1,Club Brugge KV,Club Brugge,CLU,Paris Saint-Germain FC,PSG,PSG,1,1,1,1
UEFA Champions League,2021-06-22,2022-05-28,2021-09-15T19:00:00Z,FINISHED,1,Manchester City FC,Man City,MCI,RB Leipzig,RB Leipzig,RBL,6,3,3,1
UEFA Champions League,2021-06-22,2022-05-28,2021-09-15T19:00:00Z,FINISHED,1,Liverpool FC,Liverpool,LIV,AC Milan,Milan,MIL,3,2,1,2
UEFA Champions League,2021-06-22,2022-05-28,2021-09-15T19:00:00Z,FINISHED,1,Club Atlético de Madrid,Atleti,ATL,FC Porto,Porto,FCP,0,0,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-09-15T19:00:00Z,FINISHED,1,Sporting Clube de Portugal,Sporting CP,SPO,AFC Ajax,Ajax,AJA,1,5,1,3
UEFA Champions League,2021-06-22,2022-05-28,2021-09-15T19:00:00Z,FINISHED,1,FC Internazionale Milano,Inter,INT,Real Madrid CF,Real Madrid,RMA,0,1,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-09-28T16:45:00Z,FINISHED,2,AFC Ajax,Ajax,AJA,Beşiktaş JK,Beşiktaş,BES,2,0,2,0
UEFA Champions League,2021-06-22,2022-05-28,2021-09-28T16:45:00Z,FINISHED,2,FK Shakhtar Donetsk,Shaktar,SHD,FC Internazionale Milano,Inter,INT,0,0,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-09-28T19:00:00Z,FINISHED,2,RB Leipzig,RB Leipzig,RBL,Club Brugge KV,Club Brugge,CLU,1,2,1,2
UEFA Champions League,2021-06-22,2022-05-28,2021-09-28T19:00:00Z,FINISHED,2,Paris Saint-Germain FC,PSG,PSG,Manchester City FC,Man City,MCI,2,0,1,0
UEFA Champions League,2021-06-22,2022-05-28,2021-09-28T19:00:00Z,FINISHED,2,FC Porto,Porto,FCP,Liverpool FC,Liverpool,LIV,1,5,0,2
UEFA Champions League,2021-06-22,2022-05-28,2021-09-28T19:00:00Z,FINISHED,2,AC Milan,Milan,MIL,Club Atlético de Madrid,Atleti,ATL,1,2,1,0
UEFA Champions League,2021-06-22,2022-05-28,2021-09-28T19:00:00Z,FINISHED,2,Borussia Dortmund,Dortmund,BVB,Sporting Clube de Portugal,Sporting CP,SPO,1,0,1,0
