league,season_start,season_end,date,status,matchday,home_team,home_team_short,home_team_code,away_team,away_team_short,away_team_code,home_team_score,away_team_score,home_team_halfscore,away_team_halfscore
UEFA Champions League,2021-06-22,2022-05-28,2021-12-07T20:00:00Z,FINISHED,6,Borussia Dortmund,Dortmund,BVB,Beşiktaş JK,Beşiktaş,BES,5,0,2,0
UEFA Champions League,2021-06-22,2022-05-28,2021-12-07T20:00:00Z,FINISHED,6,FK Shakhtar Donetsk,Shaktar,SHD,FC Sheriff Tiraspol,Sheriff,SHE,1,1,1,0
UEFA Champions League,2021-06-22,2022-05-28,2021-12-07T20:00:00Z,FINISHED,6,Real Madrid CF,Real Madrid,RMA,FC Internazionale Milano,Inter,INT,2,0,1,0
UEFA Champions League,2021-06-22,2022-05-28,2021-12-08T17:45:00Z,FINISHED,6,FK Zenit Sankt-Petersburg,Zenit,ZEN,Chelsea FC,Chelsea,CHE,3,3,2,1
UEFA Champions League,2021-06-22,2022-05-28,2021-12-08T17:45:00Z,FINISHED,6,Juventus FC,Juventus,JUV,Malmö FF,Malmö FF,MAL,1,0,1,0
UEFA Champions League,2021-06-22,2022-05-28,2021-12-08T20:00:00Z,FINISHED,6,FC Bayern München,Bayern,FCB,FC Barcelona,Barça,FCB,3,0,2,0
UEFA Champions League,2021-06-22,2022-05-28,2021-12-08T20:00:00Z,FINISHED,6,Sport Lisboa e Benfica,SL Benfica,BEN,FK Dynamo Kyiv,Dynamo Kyiv,DYN,2,0,2,0
UEFA Champions League,2021-06-22,2022-05-28,2021-12-08T20:00:00Z,FINISHED,6,Manchester United FC,Man United,MUN,BSC Young Boys,Young Boys,YOB,1,1,1,1
UEFA Champions League,2021-06-22,2022-05-28,2021-12-08T20:00:00Z,FINISHED,6,VfL Wolfsburg,Wolfsburg,WOB,Lille OSC,Lille,LIL,1,3,0,1
UEFA Champions League,2021-06-22,2022-05-28,2021-12-08T20:00:00Z,FINISHED,6,FC Red Bull Salzburg,RB Salzburg,RBS,Sevilla FC,Sevilla FC,SEV,1,0,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-12-09T18:00:00Z,FINISHED,6,Atalanta BC,Atalanta,ATA,Villarreal CF,Villarreal,VIL,2,3,0,2
UEFA Champions League,2021-06-22,2022-05-28,2022-02-15T20:00:00Z,FINISHED,7,Paris Saint-Germain FC,PSG,PSG,Real Madrid CF,Real Madrid,RMA,1,0,0,0
UEFA Champions League,2021-06-22,2022-05-28,2022-02-15T20:00:00Z,FINISHED,7,Sporting Clube de Portugal,Sporting CP,SPO,Manchester City FC,Man City,MCI,0,5,0,4
UEFA Champions League,2021-06-22,2022-05-28,2022-02-16T20:00:00Z,FINISHED,7,FC Internazionale Milano,Inter,INT,Liverpool FC,Liverpool,LIV,0,2,0,0
UEFA Champions League,2021-06-22,2022-05-28,2022-02-16T20:00:00Z,FINISHED,7,FC Red Bull Salzburg,RB Salzburg,RBS,FC Bayern München,Bayern,FCB,1,1,1,0
UEFA Champions League,2021-06-22,2022-05-28,2022-02-22T20:00:00Z,FINISHED,7,Villarreal CF,Villarreal,VIL,Juventus FC,Juventus,JUV,1,1,0,1
UEFA Champions League,2021-06-22,2022-05-28,2022-02-22T20:00:00Z,FINISHED,7,Chelsea FC,Chelsea,CHE,Lille OSC,Lille,LIL,2,0,1,0
UEFA Champions League,2021-06-22,2022-05-28,2022-02-23T20:00:00Z,FINISHED,7,Club Atlético de Madrid,Atleti,ATL,Manchester United FC,Man United,MUN,1,1,1,0
UEFA Champions League,2021-06-22,2022-05-28,2022-02-23T20:00:00Z,FINISHED,7,Sport Lisboa e Benfica,SL Benfica,BEN,AFC Ajax,Ajax,AJA,2,2,1,2
UEFA Champions League,2021-06-22,2022-05-28,2022-03-08T20:00:00Z,FINISHED,7,Liverpool FC,Liverpool,LIV,FC Internazionale Milano,Inter,INT,0,1,0,0
UEFA Champions League,2021-06-22,2022-05-28,2022-03-08T20:00:00Z,FINISHED,7,FC Bayern München,Bayern,FCB,FC Red Bull Salzburg,RB Salzburg,RBS,7,1,4,0
UEFA Champions League,2021-06-22,2022-05-28,2022-03-09T20:00:00Z,FINISHED,7,Real Madrid CF,Real Madrid,RMA,Paris Saint-Germain FC,PSG,PSG,3,1,0,1
UEFA Champions League,2021-06-22,2022-05-28,2022-03-09T20:00:00Z,FINISHED,7,Manchester City FC,Man City,MCI,Sporting Clube de Portugal,Sporting CP,SPO,0,0,0,0
UEFA Champions League,2021-06-22,2022-05-28,2022-03-15T20:00:00Z,FINISHED,7,Manchester United FC,Man United,MUN,Club Atlético de Madrid,Atleti,ATL,0,1,0,1
UEFA Champions League,2021-06-22,2022-05-28,2022-03-15T20:00:00Z,FINISHED,7,AFC Ajax,Ajax,AJA,Sport Lisboa e Benfica,SL Benfica,BEN,0,1,0,0
UEFA Champions League,2021-06-22,2022-05-28,2022-03-16T20:00:00Z,FINISHED,7,Juventus FC,Juventus,JUV,Villarreal CF,Villarreal,VIL,0,3,0,0
UEFA Champions League,2021-06-22,2022-05-28,2022-03-16T20:00:00Z,FINISHED,7,Lille OSC,Lille,LIL,Chelsea FC,Chelsea,CHE,1,2,1,1
UEFA Champions League,2021-06-22,2022-05-28,2022-04-05T19:00:00Z,FINISHED,,Sport Lisboa e Benfica,SL Benfica,BEN,Liverpool FC,Liverpool,LIV,1,3,0,2
UEFA Champions League,2021-06-22,2022-05-28,2022-04-05T19:00:00Z,FINISHED,,Manchester City FC,Man City,MCI,Club Atlético de Madrid,Atleti,ATL,1,0,0,0
UEFA Champions League,2021-06-22,2022-05-28,2022-04-06T19:00:00Z,FINISHED,,Villarreal CF,Villarreal,VIL,FC Bayern München,Bayern,FCB,1,0,1,0
UEFA Champions League,2021-06-22,2022-05-28,2022-04-06T19:00:00Z,FINISHED,,Chelsea FC,Chelsea,CHE,Real Madrid CF,Real Madrid,RMA,1,3,1,2
UEFA Champions League,2021-06-22,2022-05-28,2022-04-12T19:00:00Z,FINISHED,,FC Bayern München,Bayern,FCB,Villarreal CF,Villarreal,VIL,1,1,0,0
UEFA Champions League,2021-06-22,2022-05-28,2022-04-12T19:00:00Z,FINISHED,,Real Madrid CF,Real Madrid,RMA,Chelsea FC,Chelsea,CHE,2,3,0,1
UEFA Champions League,2021-06-22,2022-05-28,2022-04-13T19:00:00Z,FINISHED,,Liverpool FC,Liverpool,LIV,Sport Lisboa e Benfica,SL Benfica,BEN,3,3,1,1
UEFA Champions League,2021-06-22,2022-05-28,2022-04-13T19:00:00Z,FINISHED,,Club Atlético de Madrid,Atleti,ATL,Manchester City FC,Man City,MCI,0,0,0,0
UEFA Champions League,2021-06-22,2022-05-28,2022-04-26T19:00:00Z,FINISHED,,Manchester City FC,Man City,MCI,Real Madrid CF,Real Madrid,RMA,4,3,2,1
UEFA Champions League,2021-06-22,2022-05-28,2022-04-27T19:00:00Z,FINISHED,,Liverpool FC,Liverpool,LIV,Villarreal CF,Villarreal,VIL,2,0,0,0
UEFA Champions League,2021-06-22,2022-05-28,2022-05-03T19:00:00Z,FINISHED,,Villarreal CF,Villarreal,VIL,Liverpool FC,Liverpool,LIV,2,3,2,0
UEFA Champions League,2021-06-22,2022-05-28,2022-05-04T19:00:00Z,FINISHED,,Real Madrid CF,Real Madrid,RMA,Manchester City FC,Man City,MCI,3,1,0,0
UEFA Champions League,2021-06-22,2022-05-28,2022-05-28T19:36:00Z,FINISHED,,Liverpool FC,Liverpool,LIV,Real Madrid CF,Real Madrid,RMA,0,1,0,0
